"Geography","statefips","countyfips","year","Total Population","Hispanic or Latino (can be of any race)","Non-Hispanic or Latino"
"Adams County, IN","18","001","2019",35777,1623,34154
"Allen County, IN","18","003","2019",379299,29356,349943
"Bartholomew County, IN","18","005","2019",83779,6019,77760
"Benton County, IN","18","007","2019",8748,476,8272
"Blackford County, IN","18","009","2019",11758,206,11552
"Boone County, IN","18","011","2019",67843,2157,65686
"Brown County, IN","18","013","2019",15092,278,14814
"Carroll County, IN","18","015","2019",20257,869,19388
"Cass County, IN","18","017","2019",37689,6207,31482
"Clark County, IN","18","019","2019",118302,6704,111598
"Clay County, IN","18","021","2019",26225,390,25835
"Clinton County, IN","18","023","2019",32399,5342,27057
"Crawford County, IN","18","025","2019",10577,164,10413
"Daviess County, IN","18","027","2019",33351,1747,31604
"Dearborn County, IN","18","029","2019",49458,695,48763
"Decatur County, IN","18","031","2019",26559,560,25999
"De Kalb County, IN","18","033","2019",43475,1237,42238
"Delaware County, IN","18","035","2019",114135,3004,111131
"Dubois County, IN","18","037","2019",42736,3724,39012
"Elkhart County, IN","18","039","2019",206341,34580,171761
"Fayette County, IN","18","041","2019",23102,339,22763
"Floyd County, IN","18","043","2019",78522,2765,75757
"Fountain County, IN","18","045","2019",16346,435,15911
"Franklin County, IN","18","047","2019",22758,289,22469
"Fulton County, IN","18","049","2019",19974,1080,18894
"Gibson County, IN","18","051","2019",33659,605,33054
"Grant County, IN","18","053","2019",65769,2898,62871
"Greene County, IN","18","055","2019",31922,512,31410
"Hamilton County, IN","18","057","2019",338011,14447,323564
"Hancock County, IN","18","059","2019",78168,2032,76136
"Harrison County, IN","18","061","2019",40515,837,39678
"Hendricks County, IN","18","063","2019",170311,7324,162987
"Henry County, IN","18","065","2019",47972,962,47010
"Howard County, IN","18","067","2019",82544,2922,79622
"Huntington County, IN","18","069","2019",36520,1007,35513
"Jackson County, IN","18","071","2019",44231,3436,40795
"Jasper County, IN","18","073","2019",33562,2069,31493
"Jay County, IN","18","075","2019",20436,663,19773
"Jefferson County, IN","18","077","2019",32308,969,31339
"Jennings County, IN","18","079","2019",27735,728,27007
"Johnson County, IN","18","081","2019",158167,5938,152229
"Knox County, IN","18","083","2019",36594,825,35769
"Kosciusko County, IN","18","085","2019",79456,6483,72973
"Lagrange County, IN","18","087","2019",39614,1666,37948
"Lake County, IN","18","089","2019",485493,95254,390239
"La Porte County, IN","18","091","2019",109888,7581,102307
"Lawrence County, IN","18","093","2019",45370,792,44578
"Madison County, IN","18","095","2019",129569,5648,123921
"Marion County, IN","18","097","2019",964582,105062,859520
"Marshall County, IN","18","099","2019",46258,4958,41300
"Martin County, IN","18","101","2019",10255,118,10137
"Miami County, IN","18","103","2019",35516,1228,34288
"Monroe County, IN","18","105","2019",148431,5274,143157
"Montgomery County, IN","18","107","2019",38338,1892,36446
"Morgan County, IN","18","109","2019",70489,1189,69300
"Newton County, IN","18","111","2019",13984,958,13026
"Noble County, IN","18","113","2019",47744,5025,42719
"Ohio County, IN","18","115","2019",5875,99,5776
"Orange County, IN","18","117","2019",19646,356,19290
"Owen County, IN","18","119","2019",20799,278,20521
"Parke County, IN","18","121","2019",16937,299,16638
"Perry County, IN","18","123","2019",19169,269,18900
"Pike County, IN","18","125","2019",12389,195,12194
"Porter County, IN","18","127","2019",170389,17719,152670
"Posey County, IN","18","129","2019",25427,313,25114
"Pulaski County, IN","18","131","2019",12353,389,11964
"Putnam County, IN","18","133","2019",37576,763,36813
"Randolph County, IN","18","135","2019",24665,923,23742
"Ripley County, IN","18","137","2019",28324,530,27794
"Rush County, IN","18","139","2019",16581,292,16289
"St. Joseph County, IN","18","141","2019",271826,24812,247014
"Scott County, IN","18","143","2019",23873,588,23285
"Shelby County, IN","18","145","2019",44729,1947,42782
"Spencer County, IN","18","147","2019",20277,613,19664
"Starke County, IN","18","149","2019",22995,954,22041
"Steuben County, IN","18","151","2019",34594,1296,33298
"Sullivan County, IN","18","153","2019",20669,366,20303
"Switzerland County, IN","18","155","2019",10751,204,10547
"Tippecanoe County, IN","18","157","2019",195732,17063,178669
"Tipton County, IN","18","159","2019",15148,443,14705
"Union County, IN","18","161","2019",7054,127,6927
"Vanderburgh County, IN","18","163","2019",181451,5155,176296
"Vermillion County, IN","18","165","2019",15498,203,15295
"Vigo County, IN","18","167","2019",107038,3006,104032
"Wabash County, IN","18","169","2019",30996,847,30149
"Warren County, IN","18","171","2019",8265,182,8083
"Warrick County, IN","18","173","2019",62998,1249,61749
"Washington County, IN","18","175","2019",28036,380,27656
"Wayne County, IN","18","177","2019",65884,2130,63754
"Wells County, IN","18","179","2019",28296,940,27356
"White County, IN","18","181","2019",24102,2126,21976
"Whitley County, IN","18","183","2019",33964,749,33215
